Day,Hour,Fuel,OutputQuality,Output
2016-01-01,1,NUCLEAR,0,11188
2016-01-01,1,GAS,0,919
2016-01-01,1,HYDRO,0,2994
2016-01-01,1,WIND,0,1255
2016-01-01,1,SOLAR,0,0
2016-01-01,1,BIOFUEL,0,3
2016-01-01,2,NUCLEAR,0,11021
2016-01-01,2,GAS,0,918
2016-01-01,2,HYDRO,0,2999
2016-01-01,2,WIND,0,1483
2016-01-01,2,SOLAR,0,0
2016-01-01,2,BIOFUEL,0,3
2016-01-01,3,NUCLEAR,0,10904
2016-01-01,3,GAS,0,920
2016-01-01,3,HYDRO,0,3012
2016-01-01,3,WIND,0,1133
2016-01-01,3,SOLAR,0,0
2016-01-01,3,BIOFUEL,0,8
2016-01-01,4,NUCLEAR,0,10425
2016-01-01,4,GAS,0,922
2016-01-01,4,HYDRO,0,3005
2016-01-01,4,WIND,0,1347
2016-01-01,4,SOLAR,0,0
2016-01-01,4,BIOFUEL,0,7
2016-01-01,5,NUCLEAR,0,10411
2016-01-01,5,GAS,0,921
2016-01-01,5,HYDRO,0,3030
2016-01-01,5,WIND,-1,1176
2016-01-01,5,SOLAR,0,0
2016-01-01,5,BIOFUEL,0,2
2016-01-01,6,NUCLEAR,0,10412
2016-01-01,6,GAS,0,920
2016-01-01,6,HYDRO,0,2998
2016-01-01,6,WIND,-1,1252
2016-01-01,6,SOLAR,0,0
2016-01-01,6,BIOFUEL,0,2
2016-01-01,7,NUCLEAR,0,10411
2016-01-01,7,GAS,0,921
2016-01-01,7,HYDRO,0,3074
2016-01-01,7,WIND,0,1469
2016-01-01,7,SOLAR,0,0
2016-01-01,7,BIOFUEL,0,2
2016-01-01,8,NUCLEAR,0,10415
2016-01-01,8,GAS,0,922
2016-01-01,8,HYDRO,0,3127
2016-01-01,8,WIND,0,1762
2016-01-01,8,SOLAR,0,0
2016-01-01,8,BIOFUEL,0,2
2016-01-01,9,NUCLEAR,0,10412
2016-01-01,9,GAS,0,920
2016-01-01,9,HYDRO,0,3362
2016-01-01,9,WIND,0,1652
2016-01-01,9,SOLAR,0,1
2016-01-01,9,BIOFUEL,0,2
2016-01-01,10,NUCLEAR,0,10414
2016-01-01,10,GAS,0,919
2016-01-01,10,HYDRO,0,3482
2016-01-01,10,WIND,0,1766
2016-01-01,10,SOLAR,0,12
2016-01-01,10,BIOFUEL,0,2
2016-01-01,11,NUCLEAR,0,10414
2016-01-01,11,GAS,0,921
2016-01-01,11,HYDRO,0,3747
2016-01-01,11,WIND,0,2024
2016-01-01,11,SOLAR,0,33
2016-01-01,11,BIOFUEL,0,3
