Date,Hour,NUCLEAR,GAS,HYDRO,WIND,SOLAR,BIOFUEL,Total Output
2019-01-01,1,11215,232,3320,1302,0,10,16079
2019-01-01,2,11221,233,3274,1146,0,10,15884
2019-01-01,3,11205,233,3222,992,0,10,15662
2019-01-01,4,11205,234,3205,876,0,10,15530
2019-01-01,5,11214,233,3218,883,0,10,15558
2019-01-01,6,11208,234,3220,975,0,10,15647
2019-01-01,7,11209,237,3651,639,0,10,15746
2019-01-01,8,11214,238,3774,857,0,10,16093
2019-01-01,9,11209,296,3765,699,2,10,15981
2019-01-01,10,11207,317,3780,932,20,11,16267
2019-01-01,11,11218,381,3536,1449,34,11,16629
2019-01-01,12,11219,423,3466,1107,76,13,16304
2019-01-01,13,11215,564,3552,876,116,13,16336
2019-01-01,14,11219,703,3669,670,142,10,16413
2019-01-01,15,11225,710,3744,894,90,10,16673
2019-01-01,16,11222,740,4218,574,41,10,16805
2019-01-01,17,11228,790,4832,970,4,10,17834
2019-01-01,18,11232,1041,5800,745,0,10,18828
2019-01-01,19,11232,1127,5943,503,0,10,18815
2019-01-01,20,11231,1146,6012,345,0,10,18744
2019-01-01,21,11224,1186,5785,316,0,10,18521
2019-01-01,22,11229,721,5294,407,0,10,17661
2019-01-01,23,11234,616,4322,352,0,10,16534
2019-01-01,24,11228,408,4262,216,0,10,16124
2019-01-02,1,11235,250,4217,132,0,10,15844
2019-01-02,2,11244,237,3994,195,0,10,15680
2019-01-02,3,11236,247,4035,192,0,6,15716
2019-01-02,4,11242,325,3762,182,0,4,15515
2019-01-02,5,11243,521,3489,191,0,4,15448
2019-01-02,6,11245,855,3288,183,0,5,15576
2019-01-02,7,11243,1119,3501,275,0,10,16148
2019-01-02,8,11242,1238,4237,428,0,23,17168
2019-01-02,9,11242,1296,4948,513,19,27,18045
2019-01-02,10,11241,1422,5016,546,67,28,18320
2019-01-02,11,11240,1438,5203,622,123,27,18653
2019-01-02,12,11235,1442,5058,667,125,27,18554
2019-01-02,13,11232,1476,5091,788,125,28,18740
2019-01-02,14,11228,1517,4716,795,77,27,18360
2019-01-02,15,11224,1312,4804,960,41,29,18370
2019-01-02,16,11221,1470,4980,984,18,51,18724
2019-01-02,17,11223,1512,5093,1104,1,91,19024
2019-01-02,18,11220,1551,5682,1288,0,159,19900
2019-01-02,19,11227,1566,5637,1405,0,126,19961
2019-01-02,20,11219,1397,5822,1267,0,99,19804
2019-01-02,21,11207,1082,5562,1400,0,180,19431
2019-01-02,22,11219,993,5272,1490,0,188,19162
2019-01-02,23,11214,408,4510,2376,0,111,18619
2019-01-02,24,11222,260,3240,2809,0,29,17560
2019-01-03,1,11218,263,2969,2770,0,12,17232
2019-01-03,2,11215,264,3003,2673,0,9,17164
2019-01-03,3,11206,263,2921,2719,0,10,17119
2019-01-03,4,11202,264,2964,2370,0,10,16810
2019-01-03,5,11205,264,3009,2324,0,11,16813
2019-01-03,6,11198,267,3015,2085,0,14,16579
2019-01-03,7,11209,311,3456,2091,0,21,17088
2019-01-03,8,11203,446,4199,2237,0,26,18111
2019-01-03,9,11216,473,5104,1873,0,27,18693
2019-01-03,10,11228,593,5425,1743,7,27,19023
2019-01-03,11,11229,583,4881,1939,17,27,18676
2019-01-03,12,11240,535,4136,2300,34,28,18273
2019-01-03,13,11236,508,3741,2905,54,27,18471
2019-01-03,14,11225,480,4204,2946,44,28,18927
2019-01-03,15,11218,494,4455,2867,46,27,19107
2019-01-03,16,11232,630,4737,2820,22,27,19468
2019-01-03,17,11232,634,5063,2779,6,27,19741
2019-01-03,18,11235,635,5442,2846,0,33,20191
2019-01-03,19,11237,637,4956,3114,0,29,19973
2019-01-03,20,11239,637,5033,3072,0,27,20008
2019-01-03,21,11224,637,4476,3434,0,27,19798
2019-01-03,22,11230,463,4044,3208,0,27,18972
2019-01-03,23,11234,282,3538,2953,0,27,18034
2019-01-03,24,11218,235,3338,2840,0,16,17647
2019-01-04,1,11211,233,3036,3050,0,10,17540
2019-01-04,2,11219,234,3024,2442,0,10,16929
2019-01-04,3,11224,233,2988,2181,0,10,16636
2019-01-04,4,11227,239,2987,2128,0,10,16591
2019-01-04,5,11212,258,3005,1448,0,10,15933
2019-01-04,6,11210,265,3088,2015,0,14,16592
2019-01-04,7,11211,316,3454,1978,0,20,16979
2019-01-04,8,11211,453,3692,2764,0,28,18148
2019-01-04,9,11215,456,3860,2655,6,27,18219
2019-01-04,10,11212,507,3889,2763,65,28,18464
2019-01-04,11,11210,574,3994,2532,148,27,18485
2019-01-04,12,11213,716,3727,2157,182,28,18023
2019-01-04,13,11207,872,3832,1817,198,27,17953
2019-01-04,14,11208,936,4092,1561,200,27,18024
2019-01-04,15,11214,1075,3930,1216,167,27,17629
2019-01-04,16,11204,1103,4408,795,105,27,17642
2019-01-04,17,11200,1193,4777,959,20,28,18177
2019-01-04,18,11198,1236,5618,902,0,28,18982
2019-01-04,19,11205,1230,5464,958,0,31,18888
2019-01-04,20,11206,1066,5366,870,0,27,18535
2019-01-04,21,11202,881,5765,523,0,28,18399
2019-01-04,22,11204,537,5616,269,0,27,17653
2019-01-04,23,11196,464,4905,213,0,27,16805
2019-01-04,24,11195,258,4429,331,0,19,16232
2019-01-05,1,11194,230,3807,684,0,7,15922
2019-01-05,2,11190,231,3124,851,0,0,15396
2019-01-05,3,11186,230,3177,944,0,0,15537
2019-01-05,4,11174,177,3205,762,0,10,15328
2019-01-05,5,11174,174,3238,857,0,16,15459
2019-01-05,6,11178,174,3419,780,0,18,15569
2019-01-05,7,11185,168,3668,771,0,6,15798
2019-01-05,8,11186,168,4276,662,0,4,16296
2019-01-05,9,11180,146,4945,383,15,0,16669
2019-01-05,10,11177,110,4855,286,38,0,16466
2019-01-05,11,11183,111,5205,141,72,0,16712
2019-01-05,12,11180,179,5457,107,87,0,17010
2019-01-05,13,11185,157,5033,145,104,0,16624
2019-01-05,14,11182,107,4888,392,105,0,16674
2019-01-05,15,11186,107,4884,580,86,0,16843
2019-01-05,16,11194,108,4682,1107,46,0,17137
