DeliveryYear,Month,Fuel,EnergyGW
2018,January,NUCLEAR,8011.32
2018,January,GAS,1089.46
2018,January,HYDRO,3389.13
2018,January,WIND,1505.07
2018,January,SOLAR,18.78
2018,January,BIOFUEL,37.5
2018,February,NUCLEAR,6807.43
2018,February,GAS,653.27
2018,February,HYDRO,2998.13
2018,February,WIND,1062.72
2018,February,SOLAR,24.06
2018,February,BIOFUEL,35.74
2018,March,NUCLEAR,7565.24
2018,March,GAS,491.51
2018,March,HYDRO,2991.24
2018,March,WIND,1072.67
2018,March,SOLAR,59.68
2018,March,BIOFUEL,40.1
2018,April,NUCLEAR,6827.01
2018,April,GAS,561.3
2018,April,HYDRO,2683.95
2018,April,WIND,968.1
2018,April,SOLAR,57.72
2018,April,BIOFUEL,36.18
2018,May,NUCLEAR,7138.81
2018,May,GAS,392.21
2018,May,HYDRO,3400.08
2018,May,WIND,594.22
2018,May,SOLAR,73.96
2018,May,BIOFUEL,33.75
2018,June,NUCLEAR,7182.06
2018,June,GAS,650.05
2018,June,HYDRO,3162.38
2018,June,WIND,615.89
2018,June,SOLAR,71.3
2018,June,BIOFUEL,32.09
2018,July,NUCLEAR,8025.8
2018,July,GAS,1451.95
2018,July,HYDRO,2806.92
2018,July,WIND,511.6
2018,July,SOLAR,78.4
2018,July,BIOFUEL,46.91
2018,August,NUCLEAR,7999.54
2018,August,GAS,1586.83
2018,August,HYDRO,2599.59
2018,August,WIND,560.18
2018,August,SOLAR,67.39
2018,August,BIOFUEL,36.5
2018,September,NUCLEAR,7412.09
2018,September,GAS,1015
2018,September,HYDRO,2646.64
2018,September,WIND,630.62
2018,September,SOLAR,53.56
2018,September,BIOFUEL,34.75
2018,October,NUCLEAR,7846.76
2018,October,GAS,321.47
2018,October,HYDRO,3017.93
2018,October,WIND,929.76
2018,October,SOLAR,33.58
2018,October,BIOFUEL,31.01
2018,November,NUCLEAR,7521.6
2018,November,GAS,631.24
2018,November,HYDRO,3183.45
2018,November,WIND,1140.51
2018,November,SOLAR,17.23
2018,November,BIOFUEL,25.02
2018,December,NUCLEAR,7811.51
2018,December,GAS,725.26
2018,December,HYDRO,3329.06
2018,December,WIND,1071.01
2018,December,SOLAR,14.01
2018,December,BIOFUEL,32.04
