DeliveryYear,Month,Fuel,EnergyGW
2017,January,NUCLEAR,8387.85
2017,January,GAS,554.1
2017,January,HYDRO,3231.18
2017,January,WIND,1045.2
2017,January,SOLAR,17.66
2017,January,BIOFUEL,35.26
2017,February,NUCLEAR,6809.36
2017,February,GAS,415.71
2017,February,HYDRO,3008.55
2017,February,WIND,1232.15
2017,February,SOLAR,31.87
2017,February,BIOFUEL,28.74
2017,March,NUCLEAR,7351.55
2017,March,GAS,502.03
2017,March,HYDRO,3304.34
2017,March,WIND,1185.13
2017,March,SOLAR,52.81
2017,March,BIOFUEL,42.79
2017,April,NUCLEAR,6868.1
2017,April,GAS,198.29
2017,April,HYDRO,3275.56
2017,April,WIND,698.61
2017,April,SOLAR,49.27
2017,April,BIOFUEL,33.54
2017,May,NUCLEAR,7043.21
2017,May,GAS,238.62
2017,May,HYDRO,3462.01
2017,May,WIND,535.05
2017,May,SOLAR,52.45
2017,May,BIOFUEL,39.28
2017,June,NUCLEAR,7673.82
2017,June,GAS,288.03
2017,June,HYDRO,3278.38
2017,June,WIND,523.75
2017,June,SOLAR,58.46
2017,June,BIOFUEL,25.26
2017,July,NUCLEAR,8330.62
2017,July,GAS,512
2017,July,HYDRO,3130.84
2017,July,WIND,377.63
2017,July,SOLAR,69.86
2017,July,BIOFUEL,44.73
2017,August,NUCLEAR,7920.82
2017,August,GAS,624.46
2017,August,HYDRO,2965.68
2017,August,WIND,517.1
2017,August,SOLAR,67.76
2017,August,BIOFUEL,42.35
2017,September,NUCLEAR,7060.23
2017,September,GAS,943.02
2017,September,HYDRO,2755.23
2017,September,WIND,374.1
2017,September,SOLAR,64.39
2017,September,BIOFUEL,42.73
2017,October,NUCLEAR,7498.04
2017,October,GAS,259.78
2017,October,HYDRO,2761.65
2017,October,WIND,785.54
2017,October,SOLAR,44.49
2017,October,BIOFUEL,35.57
2017,November,NUCLEAR,7479.89
2017,November,GAS,493.02
2017,November,HYDRO,3078.68
2017,November,WIND,919.87
2017,November,SOLAR,21.13
2017,November,BIOFUEL,23.1
2017,December,NUCLEAR,8194.81
2017,December,GAS,838.4
2017,December,HYDRO,3469.19
2017,December,WIND,982.12
2017,December,SOLAR,12.62
2017,December,BIOFUEL,48.79
