Month,NUCLEAR,GAS,HYDRO,WIND,SOLAR,BIOFUEL,Total Output
January,8459.11,1079.04,3412.83,1197.59,14.38,37.45,14200.4
February,7849.61,866.18,3226.38,934.19,19.12,38.99,12934.5
March,7918.91,751,3250.77,655.62,36.36,48.49,12661.2
April,6911.26,666.85,3197.3,605.68,46.76,34.76,11462.6
May,6092.72,1018.74,3388.71,603.74,57.94,45.24,11207.1
June,7322.47,1020.51,3085.51,584.95,59.04,28.11,12100.6
July,8244.42,1577.12,2801.12,524.08,56.01,44.37,13247.1
August,8082.7,2121.96,2708.5,504.42,54.71,61,13533.3
September,7695.77,1091.33,2582.91,568.42,47.02,38.74,12024.2
October,7719.73,744.37,2607.57,750.77,33.82,49.62,11905.9
November,7525.33,904.63,2566.48,955.57,28.75,34.74,12015.5
December,7879.69,918.38,2891.9,1450.4,12.49,29.92,13182.8
,,,,,,,
