Month,NUCLEAR,GAS,HYDRO,WIND,SOLAR,BIOFUEL,Total Output
January,8489.15,1846.24,3567.44,950.34,1.15,34.06,14888.4
February,7731.11,2385.53,3020.66,768.91,1.49,29.38,13937.1
March,8749.34,1066.95,3063.28,811.73,15.17,41.95,13748.4
April,7451.97,752.23,2945.79,852.2,22.33,27.66,12052.2
May,7433.69,757.49,3336,628.54,26.53,38.07,12220.3
June,7644.8,945,3154.32,500.39,26.38,39.24,12310.1
July,8343.58,1498.25,3055.85,395.8,30.47,46.91,13370.9
August,8440.35,1275.89,2805.69,459.28,28.87,40.36,13050.4
September,6519.71,1855.63,2696.06,574.06,33.12,34.27,11712.9
October,5794.57,1508.81,2631.46,1083.57,31.63,25.03,11075.1
November,7808.96,700.29,2855,919.1,26.17,42.52,12352
December,7848.6,773.82,3229.92,1038.41,11.09,46.35,12948.2
,,,,,,,
