Month,NUCLEAR,GAS,HYDRO,WIND,SOLAR,BIOFUEL,Total Output
January,8387.85,554.1,3231.18,1045.2,17.66,35.26,13271.3
February,6809.36,415.71,3008.55,1232.15,31.87,28.74,11526.4
March,7351.55,502.03,3304.34,1185.13,52.81,42.79,12438.7
April,6868.1,198.29,3275.56,698.61,49.27,33.54,11123.4
May,7043.21,238.62,3462.01,535.05,52.45,39.28,11370.6
June,7673.82,288.03,3278.38,523.75,58.46,25.26,11847.7
July,8330.62,512,3130.84,377.63,69.86,44.73,12465.7
August,7920.82,624.46,2965.68,517.1,67.76,42.35,12138.2
September,7060.23,943.02,2755.23,374.1,64.39,42.73,11239.7
October,7498.04,259.78,2761.65,785.54,44.49,35.57,11385.1
November,7479.89,493.02,3078.68,919.87,21.13,23.1,12015.7
December,8194.81,838.4,3469.19,982.12,12.62,48.79,13545.9
,,,,,,,
