Month,NUCLEAR,GAS,HYDRO,WIND,SOLAR,BIOFUEL,Total Output
January,8402.95,898.94,3251.16,1184.09,19.39,40.62,13797.2
February,6974.06,811.11,3164.72,1363.44,42.02,24.74,12380.1
March,7446.67,596.32,3190.29,1210.63,61.93,32.86,12538.7
April,7060.64,262.46,2993.93,960.62,75.59,27.82,11381.1
May,6987.35,444.12,3214.76,876.93,89.1,36.22,11648.5
June,7479.39,872.73,3229.94,602.6,98.68,27.53,12310.9
,,,,,,,
