DeliveryYear,Day,Hour,Fuel,OutputQuality,Output
2020,2020-01-01,21,HYDRO,0,3463
2020,2020-01-01,21,WIND,0,2852
2020,2020-01-01,21,SOLAR,0,0
2020,2020-01-01,21,BIOFUEL,0,14
2020,2020-01-01,22,NUCLEAR,0,11681
2020,2020-01-01,22,GAS,-1,235
2020,2020-01-01,22,HYDRO,0,3436
2020,2020-01-01,22,WIND,0,3196
2020,2020-01-01,22,SOLAR,0,0
2020,2020-01-01,22,BIOFUEL,0,13
2020,2020-01-01,23,NUCLEAR,0,11678
2020,2020-01-01,23,GAS,-1,236
2020,2020-01-01,23,HYDRO,0,3325
2020,2020-01-01,23,WIND,0,2740
2020,2020-01-01,23,SOLAR,0,0
2020,2020-01-01,23,BIOFUEL,0,13
2020,2020-01-01,24,NUCLEAR,0,11674
2020,2020-01-01,24,GAS,-1,235
2020,2020-01-01,24,HYDRO,0,3086
2020,2020-01-01,24,WIND,0,2112
2020,2020-01-01,24,SOLAR,0,0
2020,2020-01-01,24,BIOFUEL,0,14
2020,2020-01-02,1,NUCLEAR,0,11679
2020,2020-01-02,1,GAS,-1,235
2020,2020-01-02,1,HYDRO,0,3098
2020,2020-01-02,1,WIND,0,1378
2020,2020-01-02,1,SOLAR,0,0
2020,2020-01-02,1,BIOFUEL,0,14
2020,2020-01-02,2,NUCLEAR,0,11675
2020,2020-01-02,2,GAS,-1,235
2020,2020-01-02,2,HYDRO,0,3055
2020,2020-01-02,2,WIND,0,1468
2020,2020-01-02,2,SOLAR,0,0
2020,2020-01-02,2,BIOFUEL,0,14
2020,2020-01-02,3,NUCLEAR,0,11674
2020,2020-01-02,3,GAS,-1,234
2020,2020-01-02,3,HYDRO,0,3054
2020,2020-01-02,3,WIND,0,1138
2020,2020-01-02,3,SOLAR,0,0
2020,2020-01-02,3,BIOFUEL,0,14
2020,2020-01-02,4,NUCLEAR,0,11683
2020,2020-01-02,4,GAS,-1,234
2020,2020-01-02,4,HYDRO,0,3046
2020,2020-01-02,4,WIND,0,950
2020,2020-01-02,4,SOLAR,0,0
2020,2020-01-02,4,BIOFUEL,0,14
2020,2020-01-02,5,NUCLEAR,0,11688
2020,2020-01-02,5,GAS,-1,234
2020,2020-01-02,5,HYDRO,0,3119
2020,2020-01-02,5,WIND,0,1038
2020,2020-01-02,5,SOLAR,0,0
2020,2020-01-02,5,BIOFUEL,0,15
2020,2020-01-02,6,NUCLEAR,0,11682
2020,2020-01-02,6,GAS,-1,233
2020,2020-01-02,6,HYDRO,0,3258
2020,2020-01-02,6,WIND,0,1387
2020,2020-01-02,6,SOLAR,0,0
2020,2020-01-02,6,BIOFUEL,0,18
2020,2020-01-02,7,NUCLEAR,0,11685
2020,2020-01-02,7,GAS,-1,235
2020,2020-01-02,7,HYDRO,0,3385
2020,2020-01-02,7,WIND,0,2207
2020,2020-01-02,7,SOLAR,0,0
2020,2020-01-02,7,BIOFUEL,0,25
2020,2020-01-02,8,NUCLEAR,0,11690
2020,2020-01-02,8,GAS,-1,235
2020,2020-01-02,8,HYDRO,0,3668
2020,2020-01-02,8,WIND,0,3371
2020,2020-01-02,8,SOLAR,0,1
2020,2020-01-02,8,BIOFUEL,0,43
2020,2020-01-02,9,NUCLEAR,0,11689
2020,2020-01-02,9,GAS,-1,379
2020,2020-01-02,9,HYDRO,0,3734
2020,2020-01-02,9,WIND,0,3609
2020,2020-01-02,9,SOLAR,0,23
2020,2020-01-02,9,BIOFUEL,0,43
2020,2020-01-02,10,NUCLEAR,0,11683
2020,2020-01-02,10,GAS,-1,504
2020,2020-01-02,10,HYDRO,0,3706
2020,2020-01-02,10,WIND,0,3477
2020,2020-01-02,10,SOLAR,0,100
2020,2020-01-02,10,BIOFUEL,0,36
2020,2020-01-02,11,NUCLEAR,0,11668
2020,2020-01-02,11,GAS,-1,405
2020,2020-01-02,11,HYDRO,0,3721
2020,2020-01-02,11,WIND,0,3040
2020,2020-01-02,11,SOLAR,0,154
2020,2020-01-02,11,BIOFUEL,0,49
2020,2020-01-02,12,NUCLEAR,0,11687
2020,2020-01-02,12,GAS,-1,499
2020,2020-01-02,12,HYDRO,0,3682
2020,2020-01-02,12,WIND,0,2903
2020,2020-01-02,12,SOLAR,0,171
2020,2020-01-02,12,BIOFUEL,0,49
