DeliveryYear,Day,Hour,Fuel,OutputQuality,Output
2017,2017-01-01,1,NUCLEAR,0,11592
2017,2017-01-01,1,GAS,0,234
2017,2017-01-01,1,HYDRO,-1,2455
2017,2017-01-01,1,WIND,0,2433
2017,2017-01-01,1,SOLAR,0,0
2017,2017-01-01,1,BIOFUEL,0,1
2017,2017-01-01,2,NUCLEAR,0,11591
2017,2017-01-01,2,GAS,0,235
2017,2017-01-01,2,HYDRO,-1,2523
2017,2017-01-01,2,WIND,0,1994
2017,2017-01-01,2,SOLAR,0,0
2017,2017-01-01,2,BIOFUEL,0,1
2017,2017-01-01,3,NUCLEAR,0,11596
2017,2017-01-01,3,GAS,0,234
2017,2017-01-01,3,HYDRO,-1,2464
2017,2017-01-01,3,WIND,0,1647
2017,2017-01-01,3,SOLAR,0,0
2017,2017-01-01,3,BIOFUEL,0,1
2017,2017-01-01,4,NUCLEAR,0,11610
2017,2017-01-01,4,GAS,0,236
2017,2017-01-01,4,HYDRO,-1,2494
2017,2017-01-01,4,WIND,0,1386
2017,2017-01-01,4,SOLAR,0,0
2017,2017-01-01,4,BIOFUEL,0,1
2017,2017-01-01,5,NUCLEAR,0,11611
2017,2017-01-01,5,GAS,0,235
2017,2017-01-01,5,HYDRO,-1,2476
2017,2017-01-01,5,WIND,0,1330
2017,2017-01-01,5,SOLAR,0,0
2017,2017-01-01,5,BIOFUEL,0,1
2017,2017-01-01,6,NUCLEAR,0,11611
2017,2017-01-01,6,GAS,0,234
2017,2017-01-01,6,HYDRO,-1,2471
2017,2017-01-01,6,WIND,0,1125
2017,2017-01-01,6,SOLAR,0,0
2017,2017-01-01,6,BIOFUEL,0,1
2017,2017-01-01,7,NUCLEAR,0,11609
2017,2017-01-01,7,GAS,0,235
2017,2017-01-01,7,HYDRO,-1,2516
2017,2017-01-01,7,WIND,0,1136
2017,2017-01-01,7,SOLAR,0,0
2017,2017-01-01,7,BIOFUEL,0,1
2017,2017-01-01,8,NUCLEAR,0,11610
2017,2017-01-01,8,GAS,0,236
2017,2017-01-01,8,HYDRO,-1,2675
2017,2017-01-01,8,WIND,0,1269
2017,2017-01-01,8,SOLAR,0,0
2017,2017-01-01,8,BIOFUEL,0,1
2017,2017-01-01,9,NUCLEAR,0,11609
2017,2017-01-01,9,GAS,0,236
2017,2017-01-01,9,HYDRO,-1,2672
2017,2017-01-01,9,WIND,0,1095
2017,2017-01-01,9,SOLAR,0,21
2017,2017-01-01,9,BIOFUEL,0,1
2017,2017-01-01,10,NUCLEAR,0,11609
2017,2017-01-01,10,GAS,0,236
2017,2017-01-01,10,HYDRO,-1,2952
2017,2017-01-01,10,WIND,0,1108
2017,2017-01-01,10,SOLAR,0,62
2017,2017-01-01,10,BIOFUEL,0,1
2017,2017-01-01,11,NUCLEAR,0,11611
2017,2017-01-01,11,GAS,0,235
2017,2017-01-01,11,HYDRO,-1,3070
2017,2017-01-01,11,WIND,0,1103
2017,2017-01-01,11,SOLAR,0,95
2017,2017-01-01,11,BIOFUEL,0,3
2017,2017-01-01,12,NUCLEAR,0,11604
2017,2017-01-01,12,GAS,0,235
2017,2017-01-01,12,HYDRO,-1,3143
2017,2017-01-01,12,WIND,0,1023
2017,2017-01-01,12,SOLAR,0,116
2017,2017-01-01,12,BIOFUEL,0,3
2017,2017-01-01,13,NUCLEAR,0,11597
2017,2017-01-01,13,GAS,0,235
2017,2017-01-01,13,HYDRO,-1,3212
2017,2017-01-01,13,WIND,0,924
2017,2017-01-01,13,SOLAR,0,121
2017,2017-01-01,13,BIOFUEL,0,1
2017,2017-01-01,14,NUCLEAR,0,11600
2017,2017-01-01,14,GAS,0,235
2017,2017-01-01,14,HYDRO,-1,3243
2017,2017-01-01,14,WIND,0,833
2017,2017-01-01,14,SOLAR,0,156
2017,2017-01-01,14,BIOFUEL,0,1
2017,2017-01-01,15,NUCLEAR,0,11599
2017,2017-01-01,15,GAS,0,233
