DeliveryYear,Day,Hour,Fuel,OutputQuality,Output
2018,2018-01-01,1,NUCLEAR,0,11671
2018,2018-01-01,1,GAS,0,1583
2018,2018-01-01,1,HYDRO,0,4152
2018,2018-01-01,1,WIND,0,992
2018,2018-01-01,1,SOLAR,0,0
2018,2018-01-01,1,BIOFUEL,0,3
2018,2018-01-01,2,NUCLEAR,0,11672
2018,2018-01-01,2,GAS,0,1192
2018,2018-01-01,2,HYDRO,0,4093
2018,2018-01-01,2,WIND,0,1124
2018,2018-01-01,2,SOLAR,0,0
2018,2018-01-01,2,BIOFUEL,0,1
2018,2018-01-01,3,NUCLEAR,0,11672
2018,2018-01-01,3,GAS,0,1040
2018,2018-01-01,3,HYDRO,0,4231
2018,2018-01-01,3,WIND,0,1265
2018,2018-01-01,3,SOLAR,0,0
2018,2018-01-01,3,BIOFUEL,0,0
2018,2018-01-01,4,NUCLEAR,0,11669
2018,2018-01-01,4,GAS,0,1041
2018,2018-01-01,4,HYDRO,0,3895
2018,2018-01-01,4,WIND,0,1369
2018,2018-01-01,4,SOLAR,0,0
2018,2018-01-01,4,BIOFUEL,0,0
2018,2018-01-01,5,NUCLEAR,0,11674
2018,2018-01-01,5,GAS,0,1004
2018,2018-01-01,5,HYDRO,0,3271
2018,2018-01-01,5,WIND,0,1848
2018,2018-01-01,5,SOLAR,0,0
2018,2018-01-01,5,BIOFUEL,0,0
2018,2018-01-01,6,NUCLEAR,0,11682
2018,2018-01-01,6,GAS,0,1048
2018,2018-01-01,6,HYDRO,0,3292
2018,2018-01-01,6,WIND,0,2022
2018,2018-01-01,6,SOLAR,0,0
2018,2018-01-01,6,BIOFUEL,0,0
2018,2018-01-01,7,NUCLEAR,0,11682
2018,2018-01-01,7,GAS,0,966
2018,2018-01-01,7,HYDRO,0,3977
2018,2018-01-01,7,WIND,0,2378
2018,2018-01-01,7,SOLAR,0,0
2018,2018-01-01,7,BIOFUEL,0,1
2018,2018-01-01,8,NUCLEAR,0,11682
2018,2018-01-01,8,GAS,0,741
2018,2018-01-01,8,HYDRO,0,4311
2018,2018-01-01,8,WIND,0,2542
2018,2018-01-01,8,SOLAR,0,0
2018,2018-01-01,8,BIOFUEL,0,4
2018,2018-01-01,9,NUCLEAR,0,11678
2018,2018-01-01,9,GAS,0,650
2018,2018-01-01,9,HYDRO,0,4058
2018,2018-01-01,9,WIND,0,2719
2018,2018-01-01,9,SOLAR,0,2
2018,2018-01-01,9,BIOFUEL,0,2
2018,2018-01-01,10,NUCLEAR,0,11682
2018,2018-01-01,10,GAS,0,556
2018,2018-01-01,10,HYDRO,0,4644
2018,2018-01-01,10,WIND,0,2687
2018,2018-01-01,10,SOLAR,0,13
2018,2018-01-01,10,BIOFUEL,0,2
2018,2018-01-01,11,NUCLEAR,0,11679
2018,2018-01-01,11,GAS,0,636
2018,2018-01-01,11,HYDRO,0,4171
2018,2018-01-01,11,WIND,0,2805
2018,2018-01-01,11,SOLAR,0,36
2018,2018-01-01,11,BIOFUEL,0,3
2018,2018-01-01,12,NUCLEAR,0,11688
2018,2018-01-01,12,GAS,0,847
2018,2018-01-01,12,HYDRO,0,3819
2018,2018-01-01,12,WIND,0,2806
2018,2018-01-01,12,SOLAR,0,47
2018,2018-01-01,12,BIOFUEL,0,3
2018,2018-01-01,13,NUCLEAR,0,11682
2018,2018-01-01,13,GAS,0,1059
2018,2018-01-01,13,HYDRO,0,3790
2018,2018-01-01,13,WIND,0,2859
2018,2018-01-01,13,SOLAR,0,62
2018,2018-01-01,13,BIOFUEL,0,2
2018,2018-01-01,14,NUCLEAR,0,11681
2018,2018-01-01,14,GAS,0,1288
2018,2018-01-01,14,HYDRO,0,3592
2018,2018-01-01,14,WIND,0,2655
2018,2018-01-01,14,SOLAR,0,65
2018,2018-01-01,14,BIOFUEL,0,1
2018,2018-01-01,15,NUCLEAR,0,11681
2018,2018-01-01,15,GAS,0,1623
2018,2018-01-01,15,HYDRO,0,3703
2018,2018-01-01,15,WIND,0,2267
2018,2018-01-01,15,SOLAR,0,49
2018,2018-01-01,15,BIOFUEL,0,0
2018,2018-01-01,16,NUCLEAR,0,11680
2018,2018-01-01,16,GAS,0,2031
2018,2018-01-01,16,HYDRO,0,3802
2018,2018-01-01,16,WIND,0,2681
2018,2018-01-01,16,SOLAR,0,25
2018,2018-01-01,16,BIOFUEL,0,0
2018,2018-01-01,17,NUCLEAR,0,11669
2018,2018-01-01,17,GAS,0,2280
2018,2018-01-01,17,HYDRO,0,4779
2018,2018-01-01,17,WIND,0,2772
2018,2018-01-01,17,SOLAR,0,5
2018,2018-01-01,17,BIOFUEL,0,0
2018,2018-01-01,18,NUCLEAR,0,11668
2018,2018-01-01,18,GAS,0,2690
2018,2018-01-01,18,HYDRO,0,5670
2018,2018-01-01,18,WIND,0,2721
2018,2018-01-01,18,SOLAR,0,0
2018,2018-01-01,18,BIOFUEL,0,0
2018,2018-01-01,19,NUCLEAR,0,11678
2018,2018-01-01,19,GAS,0,2582
